Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Image Segmentation,K-Centros 1,0.05,0.0323 ± 0.0051,0.1420 ± 0.0000,0.2742 ± 0.0000,392.2903 ± 0.0000
Image Segmentation,K-Centros 1,0.1,0.0320 ± 0.0044,0.2451 ± 0.0000,0.1933 ± 0.0000,455.3771 ± 0.0000
Image Segmentation,K-Centros 1,0.15,0.0310 ± 0.0012,0.2451 ± 0.0000,0.1933 ± 0.0000,455.3771 ± 0.0000
Image Segmentation,K-Centros 1,0.2,0.0313 ± 0.0021,0.2451 ± 0.0000,0.1933 ± 0.0000,455.3771 ± 0.0000
Image Segmentation,K-Centros 1,0.25,0.0308 ± 0.0030,0.4622 ± 0.0000,0.1007 ± 0.0000,548.8289 ± 0.0000
