Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Yeast,K-Centros 1,0.05,0.8476 ± 0.2322,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
Yeast,K-Centros 1,0.1,0.7635 ± 0.1545,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
Yeast,K-Centros 1,0.15,0.8190 ± 0.2121,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
Yeast,K-Centros 1,0.2,0.8125 ± 0.2186,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
Yeast,K-Centros 1,0.25,0.8109 ± 0.2055,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.0532 ± 0.0000
