Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Abalone,K-Centros 1,0.05,6.3272 ± 0.5923,0.5120 ± 0.0000,0.0216 ± 0.0000,1.1913 ± 0.0000
Abalone,K-Centros 1,0.1,6.4460 ± 0.8049,0.5120 ± 0.0000,0.0216 ± 0.0000,1.1913 ± 0.0000
Abalone,K-Centros 1,0.15,6.3889 ± 0.6514,0.4094 ± 0.0000,0.0677 ± 0.0000,0.3984 ± 0.0000
Abalone,K-Centros 1,0.2,6.4511 ± 0.8880,0.4094 ± 0.0000,0.0677 ± 0.0000,0.3984 ± 0.0000
Abalone,K-Centros 1,0.25,6.3851 ± 0.6006,0.4823 ± 0.0000,0.0282 ± 0.0000,0.7694 ± 0.0000
