Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Statlog Vehicle Silhouettes,K-Centros 1,0.05,0.2840 ± 0.0062,0.6462 ± 0.0000,0.0823 ± 0.0000,235.9174 ± 0.0000
Statlog Vehicle Silhouettes,K-Centros 1,0.1,0.3721 ± 0.1138,0.6394 ± 0.0000,0.0712 ± 0.0000,235.9174 ± 0.0000
Statlog Vehicle Silhouettes,K-Centros 1,0.15,0.3266 ± 0.0786,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
Statlog Vehicle Silhouettes,K-Centros 1,0.2,0.3265 ± 0.0772,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
Statlog Vehicle Silhouettes,K-Centros 1,0.25,0.2888 ± 0.0287,0.5237 ± 0.0000,0.0110 ± 0.0000,307.2312 ± 0.0000
