Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Abalone,K-Centros 1,0.05,6.5060 ± 0.6951,0.3654 ± 0.0000,0.0549 ± 0.0000,1.2930 ± 0.0000
Abalone,K-Centros 1,0.1,6.4622 ± 0.7233,0.3654 ± 0.0000,0.0549 ± 0.0000,1.2930 ± 0.0000
Abalone,K-Centros 1,0.15,6.5226 ± 0.6205,0.4093 ± 0.0000,0.0675 ± 0.0000,0.8435 ± 0.0000
Abalone,K-Centros 1,0.2,6.4201 ± 0.6861,0.4093 ± 0.0000,0.0675 ± 0.0000,0.8435 ± 0.0000
Abalone,K-Centros 1,0.25,6.4841 ± 0.6499,0.3654 ± 0.0000,0.0549 ± 0.0000,1.2930 ± 0.0000
