Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Raising,K-Centros 1,0.05,0.3792 ± 0.0893,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
Raising,K-Centros 1,0.1,0.3821 ± 0.0922,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
Raising,K-Centros 1,0.15,0.3770 ± 0.0852,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
Raising,K-Centros 1,0.2,0.3685 ± 0.0840,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
Raising,K-Centros 1,0.25,0.3391 ± 0.0444,0.6529 ± 0.0000,0.0396 ± 0.0000,89496.6275 ± 0.0000
