Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Yeast,K-Centros 1,0.05,0.8344 ± 0.1867,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
Yeast,K-Centros 1,0.1,0.8488 ± 0.2078,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
Yeast,K-Centros 1,0.15,0.8605 ± 0.2151,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
Yeast,K-Centros 1,0.2,0.8602 ± 0.2082,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
Yeast,K-Centros 1,0.25,0.8567 ± 0.2118,0.5919 ± 0.0000,-0.0009 ± 0.0000,1.6800 ± 0.0000
