Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Image Segmentation,K-Centros 1,0.05,0.0334 ± 0.0044,0.2069 ± 0.0000,0.2421 ± 0.0000,143.4224 ± 0.0000
Image Segmentation,K-Centros 1,0.1,0.0328 ± 0.0029,0.2069 ± 0.0000,0.2421 ± 0.0000,143.4224 ± 0.0000
Image Segmentation,K-Centros 1,0.15,0.0310 ± 0.0025,0.2744 ± 0.0000,0.1043 ± 0.0000,183.3910 ± 0.0000
Image Segmentation,K-Centros 1,0.2,0.0412 ± 0.0149,0.2744 ± 0.0000,0.1043 ± 0.0000,183.3910 ± 0.0000
Image Segmentation,K-Centros 1,0.25,0.0496 ± 0.0121,0.8807 ± 0.0000,0.0000 ± 0.0000,371.1860 ± 0.0000
