Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 4,K-Centros 1,0.05,0.1613 ± 0.0102,-1.0000 ± 0.0000,0.0000 ± 0.0000,10.0095 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.1,0.2113 ± 0.0676,-1.0000 ± 0.0000,0.0000 ± 0.0000,10.0095 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.15,0.1596 ± 0.0042,-1.0000 ± 0.0000,0.0000 ± 0.0000,10.0095 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.2,0.2053 ± 0.0619,-1.0000 ± 0.0000,0.0000 ± 0.0000,10.0095 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.25,0.1611 ± 0.0053,-1.0000 ± 0.0000,0.0000 ± 0.0000,10.0095 ± 0.0000
