Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 0,K-Centros 1,0.05,0.2143 ± 0.0647,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.3023 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.1,0.1731 ± 0.0067,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.3023 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.15,0.2236 ± 0.0667,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.3023 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.2,0.1720 ± 0.0059,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.3023 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.25,0.2618 ± 0.2205,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.3023 ± 0.0000
