Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.05,0.3698 ± 0.0837,0.6898 ± 0.0000,0.7525 ± 0.0000,6.1744 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.1,0.3767 ± 0.0885,0.6886 ± 0.0000,0.7548 ± 0.0000,6.1744 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.15,0.3743 ± 0.0867,0.6886 ± 0.0000,0.7548 ± 0.0000,6.1744 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.2,0.3759 ± 0.0851,0.6886 ± 0.0000,0.7548 ± 0.0000,6.1744 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.25,0.3743 ± 0.0842,0.6886 ± 0.0000,0.7548 ± 0.0000,6.1744 ± 0.0000
