Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 4,K-Centros 1,0.05,0.5598 ± 0.1163,0.2984 ± 0.0000,0.4297 ± 0.0000,6.6800 ± 0.0000
Dataset Sintétido Distribuição Multivariada 4,K-Centros 1,0.1,0.6538 ± 0.1823,0.2984 ± 0.0000,0.4297 ± 0.0000,6.6800 ± 0.0000
Dataset Sintétido Distribuição Multivariada 4,K-Centros 1,0.15,0.5649 ± 0.1213,0.2984 ± 0.0000,0.4297 ± 0.0000,6.6800 ± 0.0000
Dataset Sintétido Distribuição Multivariada 4,K-Centros 1,0.2,0.6080 ± 0.1599,0.2984 ± 0.0000,0.4297 ± 0.0000,6.6800 ± 0.0000
Dataset Sintétido Distribuição Multivariada 4,K-Centros 1,0.25,0.5500 ± 0.1232,0.3327 ± 0.0000,0.4789 ± 0.0000,5.9977 ± 0.0000
