Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 5,K-Centros 1,0.05,0.2284 ± 0.0420,0.4222 ± 0.0000,0.3922 ± 0.0000,8.8183 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.1,0.2555 ± 0.0600,0.5511 ± 0.0000,0.4889 ± 0.0000,9.3770 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.15,0.2511 ± 0.0557,0.5511 ± 0.0000,0.4889 ± 0.0000,9.3770 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.2,0.2539 ± 0.0552,0.5511 ± 0.0000,0.4889 ± 0.0000,9.3770 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.25,0.2170 ± 0.0164,0.5511 ± 0.0000,0.4889 ± 0.0000,9.3770 ± 0.0000
