Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.05,0.2451 ± 0.0473,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.1,0.3039 ± 0.0754,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.15,0.2281 ± 0.0055,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.2,0.2619 ± 0.0600,0.6164 ± 0.0000,0.5554 ± 0.0000,6.5997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.25,0.2607 ± 0.0568,0.5773 ± 0.0000,0.6504 ± 0.0000,6.1678 ± 0.0000
