Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.05,0.2315 ± 0.0228,0.5058 ± 0.0000,0.6613 ± 0.0000,4.5880 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.1,0.2621 ± 0.0594,0.5058 ± 0.0000,0.6613 ± 0.0000,4.5880 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.15,0.2258 ± 0.0042,0.5058 ± 0.0000,0.6613 ± 0.0000,4.5880 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.2,0.2662 ± 0.0642,0.5058 ± 0.0000,0.6613 ± 0.0000,4.5880 ± 0.0000
Dataset Sintétido Distribuição Multivariada 1,K-Centros 1,0.25,0.2651 ± 0.0590,0.5058 ± 0.0000,0.6613 ± 0.0000,4.5880 ± 0.0000
