Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 8,K-Centros 1,0.05,0.2249 ± 0.0367,0.6153 ± 0.0000,0.8388 ± 0.0000,7.1079 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.1,0.2418 ± 0.0512,0.6153 ± 0.0000,0.8388 ± 0.0000,7.1079 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.15,0.2465 ± 0.0543,0.6153 ± 0.0000,0.8388 ± 0.0000,7.1079 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.2,0.2122 ± 0.0046,0.6153 ± 0.0000,0.8388 ± 0.0000,7.1079 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.25,0.2498 ± 0.0570,0.6153 ± 0.0000,0.8388 ± 0.0000,7.1079 ± 0.0000
