Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.05,0.1436 ± 0.0047,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.1,0.1769 ± 0.0313,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.15,0.1441 ± 0.0035,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.2,0.1435 ± 0.0035,0.7021 ± 0.0000,0.8664 ± 0.0000,4.7997 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.25,0.1685 ± 0.0305,0.6781 ± 0.0000,0.8260 ± 0.0000,4.7997 ± 0.0000
