Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.05,0.1429 ± 0.0023,0.7367 ± 0.0000,0.9171 ± 0.0000,3.4645 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.1,0.1638 ± 0.0299,0.7367 ± 0.0000,0.9171 ± 0.0000,3.4645 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.15,0.1566 ± 0.0281,0.7367 ± 0.0000,0.9171 ± 0.0000,3.4645 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.2,0.1437 ± 0.0032,0.7367 ± 0.0000,0.9171 ± 0.0000,3.4645 ± 0.0000
Dataset Sintétido Distribuição Multivariada 0,K-Centros 1,0.25,0.1760 ± 0.0318,0.7367 ± 0.0000,0.9171 ± 0.0000,3.4645 ± 0.0000
