Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 6,K-Centros 1,0.05,0.2718 ± 0.0047,0.4883 ± 0.0000,0.6052 ± 0.0000,7.6052 ± 0.0000
Dataset Sintétido Distribuição Multivariada 6,K-Centros 1,0.1,0.3088 ± 0.0704,0.4883 ± 0.0000,0.6052 ± 0.0000,7.6052 ± 0.0000
Dataset Sintétido Distribuição Multivariada 6,K-Centros 1,0.15,0.3140 ± 0.0713,0.4883 ± 0.0000,0.6052 ± 0.0000,7.6052 ± 0.0000
Dataset Sintétido Distribuição Multivariada 6,K-Centros 1,0.2,0.3123 ± 0.0724,0.4883 ± 0.0000,0.6052 ± 0.0000,7.6052 ± 0.0000
Dataset Sintétido Distribuição Multivariada 6,K-Centros 1,0.25,0.2700 ± 0.0195,0.5001 ± 0.0000,0.6160 ± 0.0000,7.6052 ± 0.0000
