Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 9,K-Centros 1,0.05,0.0033 ± 0.0002,0.3708 ± 0.0000,0.0656 ± 0.0000,2.7744 ± 0.0000
Dataset Sintético Scikit Learn 9,K-Centros 1,0.1,0.0035 ± 0.0006,0.3708 ± 0.0000,0.0656 ± 0.0000,2.7744 ± 0.0000
Dataset Sintético Scikit Learn 9,K-Centros 1,0.15,0.0033 ± 0.0001,0.3708 ± 0.0000,0.0656 ± 0.0000,2.7744 ± 0.0000
Dataset Sintético Scikit Learn 9,K-Centros 1,0.2,0.0033 ± 0.0001,0.3708 ± 0.0000,0.0656 ± 0.0000,2.7744 ± 0.0000
Dataset Sintético Scikit Learn 9,K-Centros 1,0.25,0.0033 ± 0.0001,0.3708 ± 0.0000,0.0656 ± 0.0000,2.7744 ± 0.0000
