Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 0,K-Centros 1,0.05,0.1738 ± 0.0052,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.6513 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.1,0.2292 ± 0.0694,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.6513 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.15,0.1732 ± 0.0056,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.6513 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.2,0.2039 ± 0.0589,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.6513 ± 0.0000
Dataset Sintético Scikit Learn 0,K-Centros 1,0.25,0.1966 ± 0.0550,-1.0000 ± 0.0000,0.0000 ± 0.0000,1.6513 ± 0.0000
