Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.05,0.2799 ± 0.0558,0.4043 ± 0.0000,0.4552 ± 0.0000,8.9206 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.1,0.2807 ± 0.0565,0.3999 ± 0.0000,0.4780 ± 0.0000,10.5210 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.15,0.3031 ± 0.0688,0.3999 ± 0.0000,0.4780 ± 0.0000,10.5210 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.2,0.2997 ± 0.0703,0.3999 ± 0.0000,0.4780 ± 0.0000,10.5210 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.25,0.2589 ± 0.0048,0.3999 ± 0.0000,0.4780 ± 0.0000,10.5210 ± 0.0000
