Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 7,K-Centros 1,0.05,0.2115 ± 0.0040,0.4958 ± 0.0000,0.6424 ± 0.0000,5.4056 ± 0.0000
Dataset Sintético Scikit Learn 7,K-Centros 1,0.1,0.2509 ± 0.0563,0.4958 ± 0.0000,0.6424 ± 0.0000,5.4056 ± 0.0000
Dataset Sintético Scikit Learn 7,K-Centros 1,0.15,0.2256 ± 0.0385,0.4958 ± 0.0000,0.6424 ± 0.0000,5.4056 ± 0.0000
Dataset Sintético Scikit Learn 7,K-Centros 1,0.2,0.2370 ± 0.0487,0.4958 ± 0.0000,0.6424 ± 0.0000,5.4056 ± 0.0000
Dataset Sintético Scikit Learn 7,K-Centros 1,0.25,0.2825 ± 0.0749,0.4958 ± 0.0000,0.6424 ± 0.0000,5.4056 ± 0.0000
