Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.05,0.1881 ± 0.0374,0.5109 ± 0.0000,0.4217 ± 0.0000,6.9331 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.1,0.1532 ± 0.0041,0.4679 ± 0.0000,0.3528 ± 0.0000,6.9331 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.15,0.1673 ± 0.0300,0.4679 ± 0.0000,0.3528 ± 0.0000,6.9331 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.2,0.1723 ± 0.0302,0.4679 ± 0.0000,0.3528 ± 0.0000,6.9331 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.25,0.1523 ± 0.0029,0.4679 ± 0.0000,0.3528 ± 0.0000,6.9331 ± 0.0000
