Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 5,K-Centros 1,0.05,0.2502 ± 0.0555,0.4315 ± 0.0000,0.4064 ± 0.0000,7.4847 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.1,0.2447 ± 0.0533,0.5469 ± 0.0000,0.4715 ± 0.0000,7.4847 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.15,0.2234 ± 0.0329,0.5469 ± 0.0000,0.4715 ± 0.0000,7.4847 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.2,0.2521 ± 0.0561,0.5469 ± 0.0000,0.4715 ± 0.0000,7.4847 ± 0.0000
Dataset Sintético Scikit Learn 5,K-Centros 1,0.25,0.2139 ± 0.0053,0.5469 ± 0.0000,0.4715 ± 0.0000,7.4847 ± 0.0000
