Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.05,0.2966 ± 0.0625,0.4229 ± 0.0000,0.4703 ± 0.0000,10.9240 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.1,0.3023 ± 0.0716,0.4051 ± 0.0000,0.4580 ± 0.0000,10.9240 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.15,0.2596 ± 0.0059,0.3095 ± 0.0000,0.2517 ± 0.0000,16.5565 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.2,0.3021 ± 0.0682,0.3095 ± 0.0000,0.2517 ± 0.0000,16.5565 ± 0.0000
Dataset Sintétido Distribuição Multivariada 7,K-Centros 1,0.25,0.2982 ± 0.0663,0.3095 ± 0.0000,0.2517 ± 0.0000,16.5565 ± 0.0000
