Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.05,0.1865 ± 0.0370,0.3775 ± 0.0000,0.3502 ± 0.0000,8.4435 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.1,0.1536 ± 0.0059,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.15,0.1617 ± 0.0232,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.2,0.2142 ± 0.0354,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
Dataset Sintétido Distribuição Multivariada 3,K-Centros 1,0.25,0.1537 ± 0.0044,0.4761 ± 0.0000,0.3646 ± 0.0000,9.8010 ± 0.0000
