Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 4,K-Centros 1,0.05,0.2600 ± 0.0594,0.4577 ± 0.0000,0.5100 ± 0.0000,8.7749 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.1,0.2156 ± 0.0041,0.5421 ± 0.0000,0.5611 ± 0.0000,8.9560 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.15,0.2566 ± 0.0572,0.5421 ± 0.0000,0.5611 ± 0.0000,8.9560 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.2,0.2151 ± 0.0049,0.5421 ± 0.0000,0.5611 ± 0.0000,8.9560 ± 0.0000
Dataset Sintético Scikit Learn 4,K-Centros 1,0.25,0.2559 ± 0.0568,0.5421 ± 0.0000,0.5611 ± 0.0000,8.9560 ± 0.0000
