Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 6,K-Centros 1,0.05,0.2199 ± 0.0332,0.5296 ± 0.0000,0.2336 ± 0.0000,4.5867 ± 0.0000
Dataset Sintético Scikit Learn 6,K-Centros 1,0.1,0.2471 ± 0.0562,0.5296 ± 0.0000,0.2336 ± 0.0000,4.5867 ± 0.0000
Dataset Sintético Scikit Learn 6,K-Centros 1,0.15,0.2117 ± 0.0050,0.5296 ± 0.0000,0.2336 ± 0.0000,4.5867 ± 0.0000
Dataset Sintético Scikit Learn 6,K-Centros 1,0.2,0.2509 ± 0.0544,0.5296 ± 0.0000,0.2336 ± 0.0000,4.5867 ± 0.0000
Dataset Sintético Scikit Learn 6,K-Centros 1,0.25,0.2114 ± 0.0042,0.5296 ± 0.0000,0.2336 ± 0.0000,4.5867 ± 0.0000
