Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.05,0.3750 ± 0.0894,0.6881 ± 0.0000,0.7612 ± 0.0000,8.9078 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.1,0.3750 ± 0.0899,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.15,0.3760 ± 0.0934,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.2,0.3663 ± 0.0827,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
Dataset Sintétido Distribuição Multivariada 2,K-Centros 1,0.25,0.3451 ± 0.0533,0.6848 ± 0.0000,0.7442 ± 0.0000,9.4675 ± 0.0000
