Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 8,K-Centros 1,0.05,0.2132 ± 0.0060,0.6077 ± 0.0000,0.8172 ± 0.0000,5.7696 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.1,0.2498 ± 0.0582,0.6077 ± 0.0000,0.8172 ± 0.0000,5.7696 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.15,0.2209 ± 0.0329,0.6077 ± 0.0000,0.8172 ± 0.0000,5.7696 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.2,0.2400 ± 0.0513,0.6077 ± 0.0000,0.8172 ± 0.0000,5.7696 ± 0.0000
Dataset Sintético Scikit Learn 8,K-Centros 1,0.25,0.2541 ± 0.0694,0.6077 ± 0.0000,0.8172 ± 0.0000,5.7696 ± 0.0000
