Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintético Scikit Learn 1,K-Centros 1,0.05,0.1853 ± 0.0523,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.6117 ± 0.0000
Dataset Sintético Scikit Learn 1,K-Centros 1,0.1,0.1690 ± 0.0069,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.6117 ± 0.0000
Dataset Sintético Scikit Learn 1,K-Centros 1,0.15,0.2179 ± 0.0680,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.6117 ± 0.0000
Dataset Sintético Scikit Learn 1,K-Centros 1,0.2,0.1721 ± 0.0057,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.6117 ± 0.0000
Dataset Sintético Scikit Learn 1,K-Centros 1,0.25,0.2275 ± 0.0670,-1.0000 ± 0.0000,0.0000 ± 0.0000,2.6117 ± 0.0000
