Dataset,Algoritmo,Referência,Tempo Execução (s),Silhueta,Índice de Rand Ajustado,Raio Máximo
Dataset Sintétido Distribuição Multivariada 9,K-Centros 1,0.05,0.2692 ± 0.0593,0.3236 ± 0.0000,0.4980 ± 0.0000,12.9845 ± 0.0000
Dataset Sintétido Distribuição Multivariada 9,K-Centros 1,0.1,0.2715 ± 0.0616,0.3982 ± 0.0000,0.4831 ± 0.0000,12.9845 ± 0.0000
Dataset Sintétido Distribuição Multivariada 9,K-Centros 1,0.15,0.2374 ± 0.0052,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
Dataset Sintétido Distribuição Multivariada 9,K-Centros 1,0.2,0.2773 ± 0.0596,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
Dataset Sintétido Distribuição Multivariada 9,K-Centros 1,0.25,0.2751 ± 0.0619,0.4698 ± 0.0000,0.5016 ± 0.0000,15.5639 ± 0.0000
